iter	Passed	Remaining
0	0	67
1	1	58
2	1	57
3	2	54
4	2	52
5	3	52
6	3	50
7	4	50
8	4	50
9	5	49
10	6	48
11	6	47
12	7	47
13	7	47
14	8	46
15	8	46
16	9	46
17	10	46
18	10	45
19	11	45
20	11	44
21	12	44
22	13	44
23	13	43
24	14	42
25	14	42
26	15	41
27	15	41
28	16	40
29	17	40
30	18	40
31	18	39
32	19	39
33	20	38
34	21	39
35	22	39
36	22	38
37	23	37
38	23	37
39	24	36
40	24	35
41	25	34
42	25	34
43	26	33
44	26	32
45	27	32
46	28	31
47	28	30
48	29	30
49	29	29
50	30	29
51	30	28
52	31	27
53	32	27
54	32	26
55	32	25
56	33	25
57	34	24
58	34	24
59	35	23
60	35	22
61	36	22
62	36	21
63	37	21
64	38	20
65	38	19
66	39	19
67	40	18
68	40	18
69	41	17
70	41	17
71	42	16
72	43	15
73	43	15
74	44	14
75	44	14
76	45	13
77	45	12
78	46	12
79	46	11
80	47	11
81	47	10
82	48	9
83	48	9
84	49	8
85	49	8
86	50	7
87	50	6
88	51	6
89	51	5
90	52	5
91	52	4
92	52	3
93	53	3
94	54	2
95	55	2
96	55	1
97	56	1
98	57	0
99	57	0
